repo,tool,n_all_tp,n_all_fp,n_all_fn,n_imp_tp,n_imp_fp,n_imp_fn,n_impT_tp,n_impT_fp,n_impT_fn,v_all_tp,v_all_fp,v_all_fn,v_imp_tp,v_imp_fp,v_imp_fn,v_impT_tp,v_impT_fp,v_impT_fn,fp_test,fp_otherOS,fp_direct_unused,fp_indirect_unused,fp_gosum_only
AfterShip__email-verifier,cdxgen,4,0,18,4,0,0,4,0,6,4,0,18,4,0,0,4,0,6,0,0,0,0,0
AfterShip__email-verifier,cyclonedx-gomod,4,0,18,4,0,0,4,0,6,4,0,18,4,0,0,4,0,6,0,0,0,0,0
Alejandro-M-P__git-courer,syft,63,0,11,45,18,0,49,14,0,63,0,11,45,18,0,49,14,0,4,2,0,1,11
Alejandro-M-P__git-courer,trivy,52,0,22,45,7,0,49,3,0,52,0,22,45,7,0,49,3,0,4,2,0,1,0
Alejandro-M-P__git-courer,cdxgen,45,0,29,45,0,0,45,0,4,45,0,29,45,0,0,45,0,4,0,0,0,0,0
Alejandro-M-P__git-courer,cyclonedx-gomod,47,0,27,45,2,0,45,2,4,47,0,27,45,2,0,45,2,4,0,2,0,0,0
AllenDang__cimgui-go,syft,14,15,16,8,21,0,8,21,0,11,20,19,8,23,0,8,23,0,0,1,0,2,18
AllenDang__cimgui-go,trivy,13,6,17,8,11,0,8,11,0,11,9,19,8,12,0,8,12,0,0,1,0,2,8
AllenDang__cimgui-go,cdxgen,10,5,20,8,7,0,8,7,0,8,8,22,8,8,0,8,8,0,0,0,0,0,7
AllenDang__cimgui-go,cyclonedx-gomod,11,0,19,8,3,0,8,3,0,11,0,19,8,3,0,8,3,0,0,1,0,2,0
Allenxuxu__gev,syft,31,0,32,19,12,0,23,8,0,31,0,32,19,12,0,23,8,0,4,0,0,3,5
Allenxuxu__gev,trivy,63,0,0,19,44,0,23,40,0,63,0,0,19,44,0,23,40,0,4,0,0,3,37
Allenxuxu__gev,cdxgen,19,0,44,19,0,0,19,0,4,19,0,44,19,0,0,19,0,4,0,0,0,0,0
Allenxuxu__gev,cyclonedx-gomod,19,0,44,19,0,0,19,0,4,19,0,44,19,0,0,19,0,4,0,0,0,0,0
Allra-Fintech__mdv,syft,9,0,6,6,3,0,6,3,0,9,0,6,6,3,0,6,3,0,0,0,0,0,3
Allra-Fintech__mdv,trivy,6,0,9,6,0,0,6,0,0,6,0,9,6,0,0,6,0,0,0,0,0,0,0
Allra-Fintech__mdv,cdxgen,6,0,9,6,0,0,6,0,0,6,0,9,6,0,0,6,0,0,0,0,0,0,0
Allra-Fintech__mdv,cyclonedx-gomod,6,0,9,6,0,0,6,0,0,6,0,9,6,0,0,6,0,0,0,0,0,0,0
Andrew-M-C__go.jsonvalue,syft,4,0,6,1,3,0,4,0,0,4,0,6,1,3,0,4,0,0,3,0,0,0,0
Andrew-M-C__go.jsonvalue,trivy,10,0,0,1,9,0,4,6,0,10,0,0,1,9,0,4,6,0,3,0,0,0,6
Andrew-M-C__go.jsonvalue,cdxgen,1,0,9,1,0,0,1,0,3,1,0,9,1,0,0,1,0,3,0,0,0,0,0
Andrew-M-C__go.jsonvalue,cyclonedx-gomod,1,0,9,1,0,0,1,0,3,1,0,9,1,0,0,1,0,3,0,0,0,0,0
Antonboom__testifylint,syft,5,12,3,3,14,0,3,14,0,4,14,4,3,15,0,3,15,0,0,0,0,0,14
Antonboom__testifylint,trivy,4,12,4,3,13,0,3,13,0,3,14,5,3,14,0,3,14,0,0,0,0,0,13
Antonboom__testifylint,cdxgen,4,11,4,3,12,0,3,12,0,3,13,5,3,13,0,3,13,0,0,0,0,0,12
Antonboom__testifylint,cyclonedx-gomod,2,0,6,2,0,1,2,0,1,2,0,6,2,0,1,2,0,1,0,0,0,0,0
